model,precision,phase,tokens,operator,arithmetic,calls,flops
TinyStories-Instruct-1M,fp32,prefill,8,Linear,fp32,48,6316032
TinyStories-Instruct-1M,fp32,prefill,8,GELU,fp32,8,147456
TinyStories-Instruct-1M,fp32,prefill,8,GroupedQueryAttention,fp32,8,139264
TinyStories-Instruct-1M,fp32,prefill,8,LayerNorm,fp32,17,52768
TinyStories-Instruct-1M,fp32,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-1M,fp32,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,8,Linear (lm_head),bf16,1,51463168
TinyStories-Instruct-1M,bf16,prefill,8,Linear,bf16,48,6316032
TinyStories-Instruct-1M,bf16,prefill,8,GELU,bf16,8,147456
TinyStories-Instruct-1M,bf16,prefill,8,GroupedQueryAttention,bf16,8,139264
TinyStories-Instruct-1M,bf16,prefill,8,LayerNorm,bf16,17,52768
TinyStories-Instruct-1M,bf16,prefill,8,Softmax,bf16,8,40960
TinyStories-Instruct-1M,bf16,prefill,8,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,8,Linear (lm_head),fp32,1,51463168
TinyStories-Instruct-1M,int8,prefill,8,Linear,int8,48,6316032
TinyStories-Instruct-1M,int8,prefill,8,Quantize,fp32,48,147456
TinyStories-Instruct-1M,int8,prefill,8,GELU,fp32,8,147456
TinyStories-Instruct-1M,int8,prefill,8,GroupedQueryAttention,fp32,8,139264
TinyStories-Instruct-1M,int8,prefill,8,Dequantize,fp32,48,73728
TinyStories-Instruct-1M,int8,prefill,8,LayerNorm,fp32,17,52768
TinyStories-Instruct-1M,int8,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-1M,int8,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,8,Linear (lm_head),fp32,1,51463168
TinyStories-Instruct-1M,int4,prefill,8,Linear,fp32,48,6316032
TinyStories-Instruct-1M,int4,prefill,8,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,8,GELU,fp32,8,147456
TinyStories-Instruct-1M,int4,prefill,8,GroupedQueryAttention,fp32,8,139264
TinyStories-Instruct-1M,int4,prefill,8,LayerNorm,fp32,17,52768
TinyStories-Instruct-1M,int4,prefill,8,Softmax,fp32,8,40960
TinyStories-Instruct-1M,int4,prefill,8,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,16,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-1M,fp32,prefill,16,Linear,fp32,48,12632064
TinyStories-Instruct-1M,fp32,prefill,16,GroupedQueryAttention,fp32,8,557056
TinyStories-Instruct-1M,fp32,prefill,16,GELU,fp32,8,294912
TinyStories-Instruct-1M,fp32,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-1M,fp32,prefill,16,LayerNorm,fp32,17,105536
TinyStories-Instruct-1M,fp32,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,16,Linear (lm_head),bf16,1,102926336
TinyStories-Instruct-1M,bf16,prefill,16,Linear,bf16,48,12632064
TinyStories-Instruct-1M,bf16,prefill,16,GroupedQueryAttention,bf16,8,557056
TinyStories-Instruct-1M,bf16,prefill,16,GELU,bf16,8,294912
TinyStories-Instruct-1M,bf16,prefill,16,Softmax,bf16,8,163840
TinyStories-Instruct-1M,bf16,prefill,16,LayerNorm,bf16,17,105536
TinyStories-Instruct-1M,bf16,prefill,16,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,16,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-1M,int8,prefill,16,Linear,int8,48,12632064
TinyStories-Instruct-1M,int8,prefill,16,GroupedQueryAttention,fp32,8,557056
TinyStories-Instruct-1M,int8,prefill,16,Quantize,fp32,48,294912
TinyStories-Instruct-1M,int8,prefill,16,GELU,fp32,8,294912
TinyStories-Instruct-1M,int8,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-1M,int8,prefill,16,Dequantize,fp32,48,147456
TinyStories-Instruct-1M,int8,prefill,16,LayerNorm,fp32,17,105536
TinyStories-Instruct-1M,int8,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,16,Linear (lm_head),fp32,1,102926336
TinyStories-Instruct-1M,int4,prefill,16,Linear,fp32,48,12632064
TinyStories-Instruct-1M,int4,prefill,16,GroupedQueryAttention,fp32,8,557056
TinyStories-Instruct-1M,int4,prefill,16,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,16,GELU,fp32,8,294912
TinyStories-Instruct-1M,int4,prefill,16,Softmax,fp32,8,163840
TinyStories-Instruct-1M,int4,prefill,16,LayerNorm,fp32,17,105536
TinyStories-Instruct-1M,int4,prefill,16,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,32,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-1M,fp32,prefill,32,Linear,fp32,48,25264128
TinyStories-Instruct-1M,fp32,prefill,32,GroupedQueryAttention,fp32,8,2228224
TinyStories-Instruct-1M,fp32,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-1M,fp32,prefill,32,GELU,fp32,8,589824
TinyStories-Instruct-1M,fp32,prefill,32,LayerNorm,fp32,17,211072
TinyStories-Instruct-1M,fp32,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,32,Linear (lm_head),bf16,1,205852672
TinyStories-Instruct-1M,bf16,prefill,32,Linear,bf16,48,25264128
TinyStories-Instruct-1M,bf16,prefill,32,GroupedQueryAttention,bf16,8,2228224
TinyStories-Instruct-1M,bf16,prefill,32,Softmax,bf16,8,655360
TinyStories-Instruct-1M,bf16,prefill,32,GELU,bf16,8,589824
TinyStories-Instruct-1M,bf16,prefill,32,LayerNorm,bf16,17,211072
TinyStories-Instruct-1M,bf16,prefill,32,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,32,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-1M,int8,prefill,32,Linear,int8,48,25264128
TinyStories-Instruct-1M,int8,prefill,32,GroupedQueryAttention,fp32,8,2228224
TinyStories-Instruct-1M,int8,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-1M,int8,prefill,32,Quantize,fp32,48,589824
TinyStories-Instruct-1M,int8,prefill,32,GELU,fp32,8,589824
TinyStories-Instruct-1M,int8,prefill,32,Dequantize,fp32,48,294912
TinyStories-Instruct-1M,int8,prefill,32,LayerNorm,fp32,17,211072
TinyStories-Instruct-1M,int8,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,32,Linear (lm_head),fp32,1,205852672
TinyStories-Instruct-1M,int4,prefill,32,Linear,fp32,48,25264128
TinyStories-Instruct-1M,int4,prefill,32,GroupedQueryAttention,fp32,8,2228224
TinyStories-Instruct-1M,int4,prefill,32,Softmax,fp32,8,655360
TinyStories-Instruct-1M,int4,prefill,32,GELU,fp32,8,589824
TinyStories-Instruct-1M,int4,prefill,32,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,32,LayerNorm,fp32,17,211072
TinyStories-Instruct-1M,int4,prefill,32,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,64,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-1M,fp32,prefill,64,Linear,fp32,48,50528256
TinyStories-Instruct-1M,fp32,prefill,64,GroupedQueryAttention,fp32,8,8912896
TinyStories-Instruct-1M,fp32,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-1M,fp32,prefill,64,GELU,fp32,8,1179648
TinyStories-Instruct-1M,fp32,prefill,64,LayerNorm,fp32,17,422144
TinyStories-Instruct-1M,fp32,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,64,Linear (lm_head),bf16,1,411705344
TinyStories-Instruct-1M,bf16,prefill,64,Linear,bf16,48,50528256
TinyStories-Instruct-1M,bf16,prefill,64,GroupedQueryAttention,bf16,8,8912896
TinyStories-Instruct-1M,bf16,prefill,64,Softmax,bf16,8,2621440
TinyStories-Instruct-1M,bf16,prefill,64,GELU,bf16,8,1179648
TinyStories-Instruct-1M,bf16,prefill,64,LayerNorm,bf16,17,422144
TinyStories-Instruct-1M,bf16,prefill,64,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,64,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-1M,int8,prefill,64,Linear,int8,48,50528256
TinyStories-Instruct-1M,int8,prefill,64,GroupedQueryAttention,fp32,8,8912896
TinyStories-Instruct-1M,int8,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-1M,int8,prefill,64,Quantize,fp32,48,1179648
TinyStories-Instruct-1M,int8,prefill,64,GELU,fp32,8,1179648
TinyStories-Instruct-1M,int8,prefill,64,Dequantize,fp32,48,589824
TinyStories-Instruct-1M,int8,prefill,64,LayerNorm,fp32,17,422144
TinyStories-Instruct-1M,int8,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,64,Linear (lm_head),fp32,1,411705344
TinyStories-Instruct-1M,int4,prefill,64,Linear,fp32,48,50528256
TinyStories-Instruct-1M,int4,prefill,64,GroupedQueryAttention,fp32,8,8912896
TinyStories-Instruct-1M,int4,prefill,64,Softmax,fp32,8,2621440
TinyStories-Instruct-1M,int4,prefill,64,GELU,fp32,8,1179648
TinyStories-Instruct-1M,int4,prefill,64,LayerNorm,fp32,17,422144
TinyStories-Instruct-1M,int4,prefill,64,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,64,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,128,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-1M,fp32,prefill,128,Linear,fp32,48,101056512
TinyStories-Instruct-1M,fp32,prefill,128,GroupedQueryAttention,fp32,8,35651584
TinyStories-Instruct-1M,fp32,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-1M,fp32,prefill,128,GELU,fp32,8,2359296
TinyStories-Instruct-1M,fp32,prefill,128,LayerNorm,fp32,17,844288
TinyStories-Instruct-1M,fp32,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,128,Linear (lm_head),bf16,1,823410688
TinyStories-Instruct-1M,bf16,prefill,128,Linear,bf16,48,101056512
TinyStories-Instruct-1M,bf16,prefill,128,GroupedQueryAttention,bf16,8,35651584
TinyStories-Instruct-1M,bf16,prefill,128,Softmax,bf16,8,10485760
TinyStories-Instruct-1M,bf16,prefill,128,GELU,bf16,8,2359296
TinyStories-Instruct-1M,bf16,prefill,128,LayerNorm,bf16,17,844288
TinyStories-Instruct-1M,bf16,prefill,128,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,128,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-1M,int8,prefill,128,Linear,int8,48,101056512
TinyStories-Instruct-1M,int8,prefill,128,GroupedQueryAttention,fp32,8,35651584
TinyStories-Instruct-1M,int8,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-1M,int8,prefill,128,Quantize,fp32,48,2359296
TinyStories-Instruct-1M,int8,prefill,128,GELU,fp32,8,2359296
TinyStories-Instruct-1M,int8,prefill,128,Dequantize,fp32,48,1179648
TinyStories-Instruct-1M,int8,prefill,128,LayerNorm,fp32,17,844288
TinyStories-Instruct-1M,int8,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,128,Linear (lm_head),fp32,1,823410688
TinyStories-Instruct-1M,int4,prefill,128,Linear,fp32,48,101056512
TinyStories-Instruct-1M,int4,prefill,128,GroupedQueryAttention,fp32,8,35651584
TinyStories-Instruct-1M,int4,prefill,128,Softmax,fp32,8,10485760
TinyStories-Instruct-1M,int4,prefill,128,GELU,fp32,8,2359296
TinyStories-Instruct-1M,int4,prefill,128,LayerNorm,fp32,17,844288
TinyStories-Instruct-1M,int4,prefill,128,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,128,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,256,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-1M,fp32,prefill,256,Linear,fp32,48,202113024
TinyStories-Instruct-1M,fp32,prefill,256,GroupedQueryAttention,fp32,8,142606336
TinyStories-Instruct-1M,fp32,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-1M,fp32,prefill,256,GELU,fp32,8,4718592
TinyStories-Instruct-1M,fp32,prefill,256,LayerNorm,fp32,17,1688576
TinyStories-Instruct-1M,fp32,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,256,Linear (lm_head),bf16,1,1646821376
TinyStories-Instruct-1M,bf16,prefill,256,Linear,bf16,48,202113024
TinyStories-Instruct-1M,bf16,prefill,256,GroupedQueryAttention,bf16,8,142606336
TinyStories-Instruct-1M,bf16,prefill,256,Softmax,bf16,8,41943040
TinyStories-Instruct-1M,bf16,prefill,256,GELU,bf16,8,4718592
TinyStories-Instruct-1M,bf16,prefill,256,LayerNorm,bf16,17,1688576
TinyStories-Instruct-1M,bf16,prefill,256,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,256,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-1M,int8,prefill,256,Linear,int8,48,202113024
TinyStories-Instruct-1M,int8,prefill,256,GroupedQueryAttention,fp32,8,142606336
TinyStories-Instruct-1M,int8,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-1M,int8,prefill,256,Quantize,fp32,48,4718592
TinyStories-Instruct-1M,int8,prefill,256,GELU,fp32,8,4718592
TinyStories-Instruct-1M,int8,prefill,256,Dequantize,fp32,48,2359296
TinyStories-Instruct-1M,int8,prefill,256,LayerNorm,fp32,17,1688576
TinyStories-Instruct-1M,int8,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,256,Linear (lm_head),fp32,1,1646821376
TinyStories-Instruct-1M,int4,prefill,256,Linear,fp32,48,202113024
TinyStories-Instruct-1M,int4,prefill,256,GroupedQueryAttention,fp32,8,142606336
TinyStories-Instruct-1M,int4,prefill,256,Softmax,fp32,8,41943040
TinyStories-Instruct-1M,int4,prefill,256,GELU,fp32,8,4718592
TinyStories-Instruct-1M,int4,prefill,256,LayerNorm,fp32,17,1688576
TinyStories-Instruct-1M,int4,prefill,256,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,256,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,512,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-1M,fp32,prefill,512,GroupedQueryAttention,fp32,8,570425344
TinyStories-Instruct-1M,fp32,prefill,512,Linear,fp32,48,404226048
TinyStories-Instruct-1M,fp32,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-1M,fp32,prefill,512,GELU,fp32,8,9437184
TinyStories-Instruct-1M,fp32,prefill,512,LayerNorm,fp32,17,3377152
TinyStories-Instruct-1M,fp32,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,512,Linear (lm_head),bf16,1,3293642752
TinyStories-Instruct-1M,bf16,prefill,512,GroupedQueryAttention,bf16,8,570425344
TinyStories-Instruct-1M,bf16,prefill,512,Linear,bf16,48,404226048
TinyStories-Instruct-1M,bf16,prefill,512,Softmax,bf16,8,167772160
TinyStories-Instruct-1M,bf16,prefill,512,GELU,bf16,8,9437184
TinyStories-Instruct-1M,bf16,prefill,512,LayerNorm,bf16,17,3377152
TinyStories-Instruct-1M,bf16,prefill,512,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,512,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-1M,int8,prefill,512,GroupedQueryAttention,fp32,8,570425344
TinyStories-Instruct-1M,int8,prefill,512,Linear,int8,48,404226048
TinyStories-Instruct-1M,int8,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-1M,int8,prefill,512,Quantize,fp32,48,9437184
TinyStories-Instruct-1M,int8,prefill,512,GELU,fp32,8,9437184
TinyStories-Instruct-1M,int8,prefill,512,Dequantize,fp32,48,4718592
TinyStories-Instruct-1M,int8,prefill,512,LayerNorm,fp32,17,3377152
TinyStories-Instruct-1M,int8,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,512,Linear (lm_head),fp32,1,3293642752
TinyStories-Instruct-1M,int4,prefill,512,GroupedQueryAttention,fp32,8,570425344
TinyStories-Instruct-1M,int4,prefill,512,Linear,fp32,48,404226048
TinyStories-Instruct-1M,int4,prefill,512,Softmax,fp32,8,167772160
TinyStories-Instruct-1M,int4,prefill,512,GELU,fp32,8,9437184
TinyStories-Instruct-1M,int4,prefill,512,LayerNorm,fp32,17,3377152
TinyStories-Instruct-1M,int4,prefill,512,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,512,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,1024,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-1M,fp32,prefill,1024,GroupedQueryAttention,fp32,8,2281701376
TinyStories-Instruct-1M,fp32,prefill,1024,Linear,fp32,48,808452096
TinyStories-Instruct-1M,fp32,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-1M,fp32,prefill,1024,GELU,fp32,8,18874368
TinyStories-Instruct-1M,fp32,prefill,1024,LayerNorm,fp32,17,6754304
TinyStories-Instruct-1M,fp32,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,1024,Linear (lm_head),bf16,1,6587285504
TinyStories-Instruct-1M,bf16,prefill,1024,GroupedQueryAttention,bf16,8,2281701376
TinyStories-Instruct-1M,bf16,prefill,1024,Linear,bf16,48,808452096
TinyStories-Instruct-1M,bf16,prefill,1024,Softmax,bf16,8,671088640
TinyStories-Instruct-1M,bf16,prefill,1024,GELU,bf16,8,18874368
TinyStories-Instruct-1M,bf16,prefill,1024,LayerNorm,bf16,17,6754304
TinyStories-Instruct-1M,bf16,prefill,1024,Embedding,bf16,2,0
TinyStories-Instruct-1M,int8,prefill,1024,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-1M,int8,prefill,1024,GroupedQueryAttention,fp32,8,2281701376
TinyStories-Instruct-1M,int8,prefill,1024,Linear,int8,48,808452096
TinyStories-Instruct-1M,int8,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-1M,int8,prefill,1024,Quantize,fp32,48,18874368
TinyStories-Instruct-1M,int8,prefill,1024,GELU,fp32,8,18874368
TinyStories-Instruct-1M,int8,prefill,1024,Dequantize,fp32,48,9437184
TinyStories-Instruct-1M,int8,prefill,1024,LayerNorm,fp32,17,6754304
TinyStories-Instruct-1M,int8,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-1M,int4,prefill,1024,Linear (lm_head),fp32,1,6587285504
TinyStories-Instruct-1M,int4,prefill,1024,GroupedQueryAttention,fp32,8,2281701376
TinyStories-Instruct-1M,int4,prefill,1024,Linear,fp32,48,808452096
TinyStories-Instruct-1M,int4,prefill,1024,Softmax,fp32,8,671088640
TinyStories-Instruct-1M,int4,prefill,1024,GELU,fp32,8,18874368
TinyStories-Instruct-1M,int4,prefill,1024,LayerNorm,fp32,17,6754304
TinyStories-Instruct-1M,int4,prefill,1024,Dequantize,fp32,48,393216
TinyStories-Instruct-1M,int4,prefill,1024,Embedding,fp32,2,0
TinyStories-Instruct-1M,fp32,prefill,2048,Linear (lm_head),fp32,1,13174571008
TinyStories-Instruct-1M,fp32,prefill,2048,GroupedQueryAttention,fp32,8,9126805504
TinyStories-Instruct-1M,fp32,prefill,2048,Softmax,fp32,8,2684354560
TinyStories-Instruct-1M,fp32,prefill,2048,Linear,fp32,48,1616904192
TinyStories-Instruct-1M,fp32,prefill,2048,GELU,fp32,8,37748736
TinyStories-Instruct-1M,fp32,prefill,2048,LayerNorm,fp32,17,13508608
TinyStories-Instruct-1M,fp32,prefill,2048,Embedding,fp32,2,0
TinyStories-Instruct-1M,bf16,prefill,2048,Linear (lm_head),bf16,1,13174571008
TinyStories-Instruct-1M,bf16,prefill,2048,GroupedQueryAttention,bf16,8,9126805504
TinyStories-Instruct-1M,bf16,prefill,2048,Softmax,bf16,8,2684354560
TinyStories-Instruct-1M,bf16,prefill,2048,Linear,bf16,48,1616904192
TinyStories-Instruct-1M,bf16,prefill,2048,GELU,bf16,8,37748736
TinyStories-Instruct-1M,bf16,prefill,2048,LayerNorm,bf16,17,13508608
