model,precision,cache,tokens,bytes
TinyStories-Instruct-3M,fp32,needed,4,32768
TinyStories-Instruct-3M,fp32,needed,8,65536
TinyStories-Instruct-3M,fp32,needed,16,131072
TinyStories-Instruct-3M,fp32,needed,32,262144
TinyStories-Instruct-3M,fp32,needed,64,524288
TinyStories-Instruct-3M,fp32,needed,128,1048576
TinyStories-Instruct-3M,fp32,needed,256,2097152
TinyStories-Instruct-3M,fp32,needed,512,3145728
TinyStories-Instruct-3M,fp32,needed,1024,5242880
TinyStories-Instruct-3M,fp32,needed,2048,9437184
TinyStories-Instruct-3M,bf16,stored,1,4096
TinyStories-Instruct-3M,bf16,stored,2,8192
TinyStories-Instruct-3M,bf16,stored,4,16384
TinyStories-Instruct-3M,bf16,stored,8,32768
TinyStories-Instruct-3M,bf16,stored,16,65536
TinyStories-Instruct-3M,bf16,stored,32,131072
TinyStories-Instruct-3M,bf16,stored,64,262144
TinyStories-Instruct-3M,bf16,stored,128,524288
TinyStories-Instruct-3M,bf16,stored,256,1048576
TinyStories-Instruct-3M,bf16,stored,512,2097152
TinyStories-Instruct-3M,bf16,stored,1024,4194304
TinyStories-Instruct-3M,bf16,stored,2048,8388608
TinyStories-Instruct-3M,bf16,needed,1,4096
TinyStories-Instruct-3M,bf16,needed,2,8192
TinyStories-Instruct-3M,bf16,needed,4,16384
TinyStories-Instruct-3M,bf16,needed,8,32768
TinyStories-Instruct-3M,bf16,needed,16,65536
TinyStories-Instruct-3M,bf16,needed,32,131072
TinyStories-Instruct-3M,bf16,needed,64,262144
TinyStories-Instruct-3M,bf16,needed,128,524288
TinyStories-Instruct-3M,bf16,needed,256,1048576
TinyStories-Instruct-3M,bf16,needed,512,1572864
TinyStories-Instruct-3M,bf16,needed,1024,2621440
TinyStories-Instruct-3M,bf16,needed,2048,4718592
TinyStories-Instruct-3M,int8,stored,1,2560
TinyStories-Instruct-3M,int8,stored,2,5120
TinyStories-Instruct-3M,int8,stored,4,10240
TinyStories-Instruct-3M,int8,stored,8,20480
TinyStories-Instruct-3M,int8,stored,16,40960
TinyStories-Instruct-3M,int8,stored,32,81920
TinyStories-Instruct-3M,int8,stored,64,163840
TinyStories-Instruct-3M,int8,stored,128,327680
TinyStories-Instruct-3M,int8,stored,256,655360
TinyStories-Instruct-3M,int8,stored,512,1310720
TinyStories-Instruct-3M,int8,stored,1024,2621440
TinyStories-Instruct-3M,int8,stored,2048,5242880
TinyStories-Instruct-3M,int8,needed,1,2560
TinyStories-Instruct-3M,int8,needed,2,5120
TinyStories-Instruct-3M,int8,needed,4,10240
TinyStories-Instruct-3M,int8,needed,8,20480
TinyStories-Instruct-3M,int8,needed,16,40960
TinyStories-Instruct-3M,int8,needed,32,81920
TinyStories-Instruct-3M,int8,needed,64,163840
TinyStories-Instruct-3M,int8,needed,128,327680
TinyStories-Instruct-3M,int8,needed,256,655360
TinyStories-Instruct-3M,int8,needed,512,983040
TinyStories-Instruct-3M,int8,needed,1024,1638400
TinyStories-Instruct-3M,int8,needed,2048,2949120
TinyStories-Instruct-3M,int4,stored,1,1536
TinyStories-Instruct-3M,int4,stored,2,3072
TinyStories-Instruct-3M,int4,stored,4,6144
TinyStories-Instruct-3M,int4,stored,8,12288
TinyStories-Instruct-3M,int4,stored,16,24576
TinyStories-Instruct-3M,int4,stored,32,49152
TinyStories-Instruct-3M,int4,stored,64,98304
TinyStories-Instruct-3M,int4,stored,128,196608
TinyStories-Instruct-3M,int4,stored,256,393216
TinyStories-Instruct-3M,int4,stored,512,786432
TinyStories-Instruct-3M,int4,stored,1024,1572864
TinyStories-Instruct-3M,int4,stored,2048,3145728
TinyStories-Instruct-3M,int4,needed,1,1536
TinyStories-Instruct-3M,int4,needed,2,3072
TinyStories-Instruct-3M,int4,needed,4,6144
TinyStories-Instruct-3M,int4,needed,8,12288
TinyStories-Instruct-3M,int4,needed,16,24576
TinyStories-Instruct-3M,int4,needed,32,49152
TinyStories-Instruct-3M,int4,needed,64,98304
TinyStories-Instruct-3M,int4,needed,128,196608
TinyStories-Instruct-3M,int4,needed,256,393216
TinyStories-Instruct-3M,int4,needed,512,589824
TinyStories-Instruct-3M,int4,needed,1024,983040
TinyStories-Instruct-3M,int4,needed,2048,1769472
TinyStories-Instruct-8M,fp32,stored,1,16384
TinyStories-Instruct-8M,fp32,stored,2,32768
TinyStories-Instruct-8M,fp32,stored,4,65536
TinyStories-Instruct-8M,fp32,stored,8,131072
TinyStories-Instruct-8M,fp32,stored,16,262144
TinyStories-Instruct-8M,fp32,stored,32,524288
TinyStories-Instruct-8M,fp32,stored,64,1048576
TinyStories-Instruct-8M,fp32,stored,128,2097152
TinyStories-Instruct-8M,fp32,stored,256,4194304
TinyStories-Instruct-8M,fp32,stored,512,8388608
TinyStories-Instruct-8M,fp32,stored,1024,16777216
TinyStories-Instruct-8M,fp32,stored,2048,33554432
TinyStories-Instruct-8M,fp32,needed,1,16384
TinyStories-Instruct-8M,fp32,needed,2,32768
TinyStories-Instruct-8M,fp32,needed,4,65536
TinyStories-Instruct-8M,fp32,needed,8,131072
TinyStories-Instruct-8M,fp32,needed,16,262144
TinyStories-Instruct-8M,fp32,needed,32,524288
TinyStories-Instruct-8M,fp32,needed,64,1048576
TinyStories-Instruct-8M,fp32,needed,128,2097152
TinyStories-Instruct-8M,fp32,needed,256,4194304
TinyStories-Instruct-8M,fp32,needed,512,6291456
TinyStories-Instruct-8M,fp32,needed,1024,10485760
TinyStories-Instruct-8M,fp32,needed,2048,18874368
TinyStories-Instruct-8M,bf16,stored,1,8192
TinyStories-Instruct-8M,bf16,stored,2,16384
TinyStories-Instruct-8M,bf16,stored,4,32768
TinyStories-Instruct-8M,bf16,stored,8,65536
TinyStories-Instruct-8M,bf16,stored,16,131072
TinyStories-Instruct-8M,bf16,stored,32,262144
TinyStories-Instruct-8M,bf16,stored,64,524288
TinyStories-Instruct-8M,bf16,stored,128,1048576
TinyStories-Instruct-8M,bf16,stored,256,2097152
TinyStories-Instruct-8M,bf16,stored,512,4194304
TinyStories-Instruct-8M,bf16,stored,1024,8388608
TinyStories-Instruct-8M,bf16,stored,2048,16777216
TinyStories-Instruct-8M,bf16,needed,1,8192
TinyStories-Instruct-8M,bf16,needed,2,16384
TinyStories-Instruct-8M,bf16,needed,4,32768
TinyStories-Instruct-8M,bf16,needed,8,65536
TinyStories-Instruct-8M,bf16,needed,16,131072
TinyStories-Instruct-8M,bf16,needed,32,262144
TinyStories-Instruct-8M,bf16,needed,64,524288
TinyStories-Instruct-8M,bf16,needed,128,1048576
TinyStories-Instruct-8M,bf16,needed,256,2097152
TinyStories-Instruct-8M,bf16,needed,512,3145728
TinyStories-Instruct-8M,bf16,needed,1024,5242880
TinyStories-Instruct-8M,bf16,needed,2048,9437184
TinyStories-Instruct-8M,int8,stored,1,4608
TinyStories-Instruct-8M,int8,stored,2,9216
TinyStories-Instruct-8M,int8,stored,4,18432
TinyStories-Instruct-8M,int8,stored,8,36864
TinyStories-Instruct-8M,int8,stored,16,73728
TinyStories-Instruct-8M,int8,stored,32,147456
TinyStories-Instruct-8M,int8,stored,64,294912
TinyStories-Instruct-8M,int8,stored,128,589824
TinyStories-Instruct-8M,int8,stored,256,1179648
TinyStories-Instruct-8M,int8,stored,512,2359296
TinyStories-Instruct-8M,int8,stored,1024,4718592
TinyStories-Instruct-8M,int8,stored,2048,9437184
TinyStories-Instruct-8M,int8,needed,1,4608
TinyStories-Instruct-8M,int8,needed,2,9216
TinyStories-Instruct-8M,int8,needed,4,18432
TinyStories-Instruct-8M,int8,needed,8,36864
TinyStories-Instruct-8M,int8,needed,16,73728
TinyStories-Instruct-8M,int8,needed,32,147456
TinyStories-Instruct-8M,int8,needed,64,294912
TinyStories-Instruct-8M,int8,needed,128,589824
TinyStories-Instruct-8M,int8,needed,256,1179648
TinyStories-Instruct-8M,int8,needed,512,1769472
TinyStories-Instruct-8M,int8,needed,1024,2949120
TinyStories-Instruct-8M,int8,needed,2048,5308416
TinyStories-Instruct-8M,int4,stored,1,2560
TinyStories-Instruct-8M,int4,stored,2,5120
TinyStories-Instruct-8M,int4,stored,4,10240
TinyStories-Instruct-8M,int4,stored,8,20480
TinyStories-Instruct-8M,int4,stored,16,40960
TinyStories-Instruct-8M,int4,stored,32,81920
TinyStories-Instruct-8M,int4,stored,64,163840
TinyStories-Instruct-8M,int4,stored,128,327680
TinyStories-Instruct-8M,int4,stored,256,655360
TinyStories-Instruct-8M,int4,stored,512,1310720
TinyStories-Instruct-8M,int4,stored,1024,2621440
TinyStories-Instruct-8M,int4,stored,2048,5242880
TinyStories-Instruct-8M,int4,needed,1,2560
TinyStories-Instruct-8M,int4,needed,2,5120
TinyStories-Instruct-8M,int4,needed,4,10240
TinyStories-Instruct-8M,int4,needed,8,20480
TinyStories-Instruct-8M,int4,needed,16,40960
TinyStories-Instruct-8M,int4,needed,32,81920
TinyStories-Instruct-8M,int4,needed,64,163840
TinyStories-Instruct-8M,int4,needed,128,327680
TinyStories-Instruct-8M,int4,needed,256,655360
TinyStories-Instruct-8M,int4,needed,512,983040
TinyStories-Instruct-8M,int4,needed,1024,1638400
TinyStories-Instruct-8M,int4,needed,2048,2949120
TinyStories-Instruct-28M,fp32,stored,1,32768
TinyStories-Instruct-28M,fp32,stored,2,65536
TinyStories-Instruct-28M,fp32,stored,4,131072
TinyStories-Instruct-28M,fp32,stored,8,262144
TinyStories-Instruct-28M,fp32,stored,16,524288
TinyStories-Instruct-28M,fp32,stored,32,1048576
TinyStories-Instruct-28M,fp32,stored,64,2097152
TinyStories-Instruct-28M,fp32,stored,128,4194304
TinyStories-Instruct-28M,fp32,stored,256,8388608
TinyStories-Instruct-28M,fp32,stored,512,16777216
TinyStories-Instruct-28M,fp32,stored,1024,33554432
TinyStories-Instruct-28M,fp32,stored,2048,67108864
TinyStories-Instruct-28M,fp32,needed,1,32768
TinyStories-Instruct-28M,fp32,needed,2,65536
TinyStories-Instruct-28M,fp32,needed,4,131072
TinyStories-Instruct-28M,fp32,needed,8,262144
TinyStories-Instruct-28M,fp32,needed,16,524288
TinyStories-Instruct-28M,fp32,needed,32,1048576
TinyStories-Instruct-28M,fp32,needed,64,2097152
TinyStories-Instruct-28M,fp32,needed,128,4194304
TinyStories-Instruct-28M,fp32,needed,256,8388608
TinyStories-Instruct-28M,fp32,needed,512,12582912
TinyStories-Instruct-28M,fp32,needed,1024,20971520
TinyStories-Instruct-28M,fp32,needed,2048,37748736
TinyStories-Instruct-28M,bf16,stored,1,16384
TinyStories-Instruct-28M,bf16,stored,2,32768
TinyStories-Instruct-28M,bf16,stored,4,65536
TinyStories-Instruct-28M,bf16,stored,8,131072
TinyStories-Instruct-28M,bf16,stored,16,262144
TinyStories-Instruct-28M,bf16,stored,32,524288
TinyStories-Instruct-28M,bf16,stored,64,1048576
TinyStories-Instruct-28M,bf16,stored,128,2097152
TinyStories-Instruct-28M,bf16,stored,256,4194304
TinyStories-Instruct-28M,bf16,stored,512,8388608
TinyStories-Instruct-28M,bf16,stored,1024,16777216
TinyStories-Instruct-28M,bf16,stored,2048,33554432
TinyStories-Instruct-28M,bf16,needed,1,16384
TinyStories-Instruct-28M,bf16,needed,2,32768
TinyStories-Instruct-28M,bf16,needed,4,65536
TinyStories-Instruct-28M,bf16,needed,8,131072
TinyStories-Instruct-28M,bf16,needed,16,262144
TinyStories-Instruct-28M,bf16,needed,32,524288
TinyStories-Instruct-28M,bf16,needed,64,1048576
TinyStories-Instruct-28M,bf16,needed,128,2097152
TinyStories-Instruct-28M,bf16,needed,256,4194304
TinyStories-Instruct-28M,bf16,needed,512,6291456
TinyStories-Instruct-28M,bf16,needed,1024,10485760
TinyStories-Instruct-28M,bf16,needed,2048,18874368
TinyStories-Instruct-28M,int8,stored,1,8704
TinyStories-Instruct-28M,int8,stored,2,17408
TinyStories-Instruct-28M,int8,stored,4,34816
TinyStories-Instruct-28M,int8,stored,8,69632
TinyStories-Instruct-28M,int8,stored,16,139264
TinyStories-Instruct-28M,int8,stored,32,278528
TinyStories-Instruct-28M,int8,stored,64,557056
TinyStories-Instruct-28M,int8,stored,128,1114112
TinyStories-Instruct-28M,int8,stored,256,2228224
TinyStories-Instruct-28M,int8,stored,512,4456448
TinyStories-Instruct-28M,int8,stored,1024,8912896
TinyStories-Instruct-28M,int8,stored,2048,17825792
TinyStories-Instruct-28M,int8,needed,1,8704
TinyStories-Instruct-28M,int8,needed,2,17408
TinyStories-Instruct-28M,int8,needed,4,34816
TinyStories-Instruct-28M,int8,needed,8,69632
TinyStories-Instruct-28M,int8,needed,16,139264
TinyStories-Instruct-28M,int8,needed,32,278528
TinyStories-Instruct-28M,int8,needed,64,557056
TinyStories-Instruct-28M,int8,needed,128,1114112
TinyStories-Instruct-28M,int8,needed,256,2228224
TinyStories-Instruct-28M,int8,needed,512,3342336
TinyStories-Instruct-28M,int8,needed,1024,5570560
TinyStories-Instruct-28M,int8,needed,2048,10027008
TinyStories-Instruct-28M,int4,stored,1,4608
TinyStories-Instruct-28M,int4,stored,2,9216
TinyStories-Instruct-28M,int4,stored,4,18432
TinyStories-Instruct-28M,int4,stored,8,36864
TinyStories-Instruct-28M,int4,stored,16,73728
TinyStories-Instruct-28M,int4,stored,32,147456
TinyStories-Instruct-28M,int4,stored,64,294912
TinyStories-Instruct-28M,int4,stored,128,589824
TinyStories-Instruct-28M,int4,stored,256,1179648
TinyStories-Instruct-28M,int4,stored,512,2359296
TinyStories-Instruct-28M,int4,stored,1024,4718592
TinyStories-Instruct-28M,int4,stored,2048,9437184
TinyStories-Instruct-28M,int4,needed,1,4608
TinyStories-Instruct-28M,int4,needed,2,9216
TinyStories-Instruct-28M,int4,needed,4,18432
TinyStories-Instruct-28M,int4,needed,8,36864
TinyStories-Instruct-28M,int4,needed,16,73728
TinyStories-Instruct-28M,int4,needed,32,147456
TinyStories-Instruct-28M,int4,needed,64,294912
TinyStories-Instruct-28M,int4,needed,128,589824
TinyStories-Instruct-28M,int4,needed,256,1179648
TinyStories-Instruct-28M,int4,needed,512,1769472
TinyStories-Instruct-28M,int4,needed,1024,2949120
TinyStories-Instruct-28M,int4,needed,2048,5308416
TinyStories-Instruct-33M,fp32,stored,1,24576
TinyStories-Instruct-33M,fp32,stored,2,49152
TinyStories-Instruct-33M,fp32,stored,4,98304
TinyStories-Instruct-33M,fp32,stored,8,196608
TinyStories-Instruct-33M,fp32,stored,16,393216
TinyStories-Instruct-33M,fp32,stored,32,786432
TinyStories-Instruct-33M,fp32,stored,64,1572864
TinyStories-Instruct-33M,fp32,stored,128,3145728
TinyStories-Instruct-33M,fp32,stored,256,6291456
TinyStories-Instruct-33M,fp32,stored,512,12582912
TinyStories-Instruct-33M,fp32,stored,1024,25165824
TinyStories-Instruct-33M,fp32,stored,2048,50331648
TinyStories-Instruct-33M,fp32,needed,1,24576
TinyStories-Instruct-33M,fp32,needed,2,49152
TinyStories-Instruct-33M,fp32,needed,4,98304
TinyStories-Instruct-33M,fp32,needed,8,196608
TinyStories-Instruct-33M,fp32,needed,16,393216
TinyStories-Instruct-33M,fp32,needed,32,786432
TinyStories-Instruct-33M,fp32,needed,64,1572864
TinyStories-Instruct-33M,fp32,needed,128,3145728
TinyStories-Instruct-33M,fp32,needed,256,6291456
TinyStories-Instruct-33M,fp32,needed,512,9437184
TinyStories-Instruct-33M,fp32,needed,1024,15728640
TinyStories-Instruct-33M,fp32,needed,2048,28311552
TinyStories-Instruct-33M,bf16,stored,1,12288
TinyStories-Instruct-33M,bf16,stored,2,24576
TinyStories-Instruct-33M,bf16,stored,4,49152
TinyStories-Instruct-33M,bf16,stored,8,98304
TinyStories-Instruct-33M,bf16,stored,16,196608
TinyStories-Instruct-33M,bf16,stored,32,393216
TinyStories-Instruct-33M,bf16,stored,64,786432
TinyStories-Instruct-33M,bf16,stored,128,1572864
TinyStories-Instruct-33M,bf16,stored,256,3145728
TinyStories-Instruct-33M,bf16,stored,512,6291456
TinyStories-Instruct-33M,bf16,stored,1024,12582912
TinyStories-Instruct-33M,bf16,stored,2048,25165824
TinyStories-Instruct-33M,bf16,needed,1,12288
TinyStories-Instruct-33M,bf16,needed,2,24576
TinyStories-Instruct-33M,bf16,needed,4,49152
TinyStories-Instruct-33M,bf16,needed,8,98304
TinyStories-Instruct-33M,bf16,needed,16,196608
TinyStories-Instruct-33M,bf16,needed,32,393216
TinyStories-Instruct-33M,bf16,needed,64,786432
TinyStories-Instruct-33M,bf16,needed,128,1572864
TinyStories-Instruct-33M,bf16,needed,256,3145728
TinyStories-Instruct-33M,bf16,needed,512,4718592
TinyStories-Instruct-33M,bf16,needed,1024,7864320
TinyStories-Instruct-33M,bf16,needed,2048,14155776
TinyStories-Instruct-33M,int8,stored,1,6400
TinyStories-Instruct-33M,int8,stored,2,12800
TinyStories-Instruct-33M,int8,stored,4,25600
TinyStories-Instruct-33M,int8,stored,8,51200
TinyStories-Instruct-33M,int8,stored,16,102400
TinyStories-Instruct-33M,int8,stored,32,204800
TinyStories-Instruct-33M,int8,stored,64,409600
TinyStories-Instruct-33M,int8,stored,128,819200
TinyStories-Instruct-33M,int8,stored,256,1638400
TinyStories-Instruct-33M,int8,stored,512,3276800
TinyStories-Instruct-33M,int8,stored,1024,6553600
TinyStories-Instruct-33M,int8,stored,2048,13107200
TinyStories-Instruct-33M,int8,needed,1,6400
TinyStories-Instruct-33M,int8,needed,2,12800
TinyStories-Instruct-33M,int8,needed,4,25600
TinyStories-Instruct-33M,int8,needed,8,51200
TinyStories-Instruct-33M,int8,needed,16,102400
TinyStories-Instruct-33M,int8,needed,32,204800
TinyStories-Instruct-33M,int8,needed,64,409600
TinyStories-Instruct-33M,int8,needed,128,819200
TinyStories-Instruct-33M,int8,needed,256,1638400
TinyStories-Instruct-33M,int8,needed,512,2457600
TinyStories-Instruct-33M,int8,needed,1024,4096000
TinyStories-Instruct-33M,int8,needed,2048,7372800
TinyStories-Instruct-33M,int4,stored,1,3328
TinyStories-Instruct-33M,int4,stored,2,6656
TinyStories-Instruct-33M,int4,stored,4,13312
TinyStories-Instruct-33M,int4,stored,8,26624
TinyStories-Instruct-33M,int4,stored,16,53248
TinyStories-Instruct-33M,int4,stored,32,106496
TinyStories-Instruct-33M,int4,stored,64,212992
TinyStories-Instruct-33M,int4,stored,128,425984
TinyStories-Instruct-33M,int4,stored,256,851968
TinyStories-Instruct-33M,int4,stored,512,1703936
TinyStories-Instruct-33M,int4,stored,1024,3407872
TinyStories-Instruct-33M,int4,stored,2048,6815744
TinyStories-Instruct-33M,int4,needed,1,3328
TinyStories-Instruct-33M,int4,needed,2,6656
TinyStories-Instruct-33M,int4,needed,4,13312
TinyStories-Instruct-33M,int4,needed,8,26624
TinyStories-Instruct-33M,int4,needed,16,53248
TinyStories-Instruct-33M,int4,needed,32,106496
TinyStories-Instruct-33M,int4,needed,64,212992
TinyStories-Instruct-33M,int4,needed,128,425984
TinyStories-Instruct-33M,int4,needed,256,851968
TinyStories-Instruct-33M,int4,needed,512,1277952
TinyStories-Instruct-33M,int4,needed,1024,2129920
TinyStories-Instruct-33M,int4,needed,2048,3833856
